MEDIDOR,mes,dia,año,periodo,importe ($),demanda (kw),consumo (kwh)
2309106513,1,28,2024,Verano,4.44,0,35
5070428,1,28,2024,Verano,4.79,0,36
14000318,1,28,2024,Verano,5.41,0.08,40
1809126635,1,28,2024,Verano,6.71,0,49
5070258,1,28,2024,Verano,7.61,0,55
5073553,1,28,2024,Verano,7.71,0,56
5073555,1,28,2024,Verano,8.13,0,58
5070426,1,28,2024,Verano,11.37,0,80
5070257,1,28,2024,Verano,11.81,0,83
14100718,1,28,2024,Verano,13.89,0,95
5070259,1,28,2024,Verano,16.11,0,110
14100720,1,28,2024,Verano,17.51,0,113
14102718,1,28,2024,Verano,20.77,0,140
5070425,1,28,2024,Verano,20.8,0,137
69406118,1,28,2024,Verano,22.86,1.01,149
5070260,1,28,2024,Verano,24.2,0,161
17846279,1,28,2024,Verano,34.29,4,160
15004519,1,28,2024,Verano,47.67,2.96,320
78800436,1,28,2024,Verano,50.9,4,240
53064654,1,28,2024,Verano,97.81,4.36,520
3001351,1,28,2024,Verano,499.88,0,2000
18792324,1,28,2024,Verano,799.56,0,3200
50001054,1,28,2024,Verano,858.74,19,2160
13001019,1,28,2024,Verano,1027,24,4160
163806535,1,28,2024,Verano,1157.47,21,3920
18792953,1,28,2024,Verano,1425.73,60.08,2240
18790336,1,28,2024,Verano,1451.35,34,3360
23990650,1,28,2024,Verano,1531.51,33,4080
17791530,1,28,2024,Verano,1580.66,0,6782
170796743,1,28,2024,Verano,1799.93,38,5680
13001218,1,28,2024,Verano,1931.53,53.76,6720
150549252,1,28,2024,Verano,2053.73,40,6760
23990876,1,28,2024,Verano,2077.85,66.72,5920
1707900616,1,28,2024,Verano,2211.63,56.64,8480
17791158,1,28,2024,Verano,2327.39,56,5120
18792647,1,28,2024,Verano,3182.6,61.2,14400
17791239,1,28,2024,Verano,3621.09,75.6,15000
17790969,1,28,2024,Verano,4095.61,127.2,12880
13000875,1,28,2024,Verano,5133.41,114,12640
14000987,1,28,2024,Verano,5879.88,181.3,14560
14000888,1,28,2024,Verano,7014.21,181.68,25920
3143290146,1,28,2024,Verano,15755.03,240,55600
3143240218,1,28,2024,Verano,18036.2,287,75600
3180050301,1,28,2024,Verano,60181.31,1050,245700
3143240198,1,28,2024,Verano,115877.64,1554,508052
184586134,1,31,2025,Verano,-1.35,0,0
627568,1,31,2025,Verano,-0.01,0,24
13001019,1,31,2025,Verano,0,32,3040
15004519,1,31,2025,Verano,0,5,480
62086091,1,31,2025,Verano,1.09,0,0
5070182,1,31,2025,Verano,2.27,0,0
5073556,1,31,2025,Verano,2.92,0,9
14000318,1,31,2025,Verano,3.16,0,0
5070181,1,31,2025,Verano,4.3,0,21
5070427,1,31,2025,Verano,7.29,0,44
1809126635,1,31,2025,Verano,7.87,0,42
5070259,1,31,2025,Verano,7.88,0,45
5070428,1,31,2025,Verano,8.44,0,47
2309106513,1,31,2025,Verano,8.46,0,46
5073553,1,31,2025,Verano,8.71,0,50
5070257,1,31,2025,Verano,8.8,0,50
5070258,1,31,2025,Verano,10.3,0,69
5073555,1,31,2025,Verano,10.94,0,69
14100718,1,31,2025,Verano,12.14,0,71
5070260,1,31,2025,Verano,12.79,0,86
5070426,1,31,2025,Verano,19.12,0,134
218400842,1,31,2025,Verano,21.56,2,135
14102718,1,31,2025,Verano,21.85,0,137
5070425,1,31,2025,Verano,24.12,0,161
14100720,1,31,2025,Verano,32.89,0,212
17846279,1,31,2025,Verano,46.29,1,280
78800436,1,31,2025,Verano,62.08,14,320
53064654,1,31,2025,Verano,101.03,4,560
3001351,1,31,2025,Verano,450,0,1800
18792324,1,31,2025,Verano,700,26,2800
23991862,1,31,2025,Verano,1069.16,34,3200
23990650,1,31,2025,Verano,1072.95,26,3240
163806535,1,31,2025,Verano,1120.79,23,4560
1707900616,1,31,2025,Verano,1196.29,69,0
23992977,1,31,2025,Verano,1354.18,56,2320
13001218,1,31,2025,Verano,1383.54,57,6300
50001054,1,31,2025,Verano,1492.86,19,3540
170796743,1,31,2025,Verano,1520.29,36,5760
18790336,1,31,2025,Verano,1773.93,57,2480
18792647,1,31,2025,Verano,2094.16,76,5040
150549252,1,31,2025,Verano,2205.53,40,9520
23990876,1,31,2025,Verano,2305.26,75,6720
17791158,1,31,2025,Verano,2328.88,69,4480
17790969,1,31,2025,Verano,2497.17,136,1581
17791239,1,31,2025,Verano,2541.2,65,11400
13000875,1,31,2025,Verano,4371.43,111,12160
14000987,1,31,2025,Verano,4551.86,133,12460
14000888,1,31,2025,Verano,6099.56,160,22560
3143290146,1,31,2025,Verano,11867.38,208,50400
3143240218,1,31,2025,Verano,14970.76,266,76300
3180050301,1,31,2025,Verano,55861.54,840,298200
3143240198,1,31,2025,Verano,89609.61,1469,467238
170796743,2,28,2022,Verano,0,0,0
14100718,2,28,2022,Verano,1.38,0,0
5070279,2,28,2022,Verano,1.39,0,0
5070182,2,28,2022,Verano,1.4,0,0
5070260,2,28,2022,Verano,1.4,0,0
5070425,2,28,2022,Verano,1.4,0,0
14100720,2,28,2022,Verano,1.4,0,1
69406118,2,28,2022,Verano,1.44,0,0
14102718,2,28,2022,Verano,1.74,0,13
5070257,2,28,2022,Verano,3.13,0,29
5073556,2,28,2022,Verano,3.79,0,39
14000318,2,28,2022,Verano,3.91,0,40
1809126635,2,28,2022,Verano,3.98,0,41
53064654,2,28,2022,Verano,3.99,2,40
5070428,2,28,2022,Verano,5.57,0,63
5073553,2,28,2022,Verano,6.42,0,72
5073555,2,28,2022,Verano,7.38,0,84
5070259,2,28,2022,Verano,7.79,0,90
5070426,2,28,2022,Verano,8.24,0,95
5070181,2,28,2022,Verano,9.16,0,108
62086091,2,28,2022,Verano,10.97,0,130
5070258,2,28,2022,Verano,14.01,0,169
712986,2,28,2022,Verano,15.23,1,160
5070427,2,28,2022,Verano,20.45,0,249
78800436,2,28,2022,Verano,22.69,3,240
17846279,2,28,2022,Verano,26.44,3,280
15004519,2,28,2022,Verano,46.45,5,320
50001054,2,28,2022,Verano,315.32,15,1980
163806535,2,28,2022,Verano,518.76,26,2280
18790336,2,28,2022,Verano,602.96,18,2640
3001351,2,28,2022,Verano,725,0,2900
13001327,2,28,2022,Verano,857.2,25,3840
17791530,2,28,2022,Verano,901.03,17,3840
13001019,2,28,2022,Verano,967.64,24,3840
144664857,2,28,2022,Verano,1065.99,28,3120
18792953,2,28,2022,Verano,1076.66,54,2240
17791158,2,28,2022,Verano,1135,29,5600
18792946,2,28,2022,Verano,1203.19,40,4000
18792324,2,28,2022,Verano,1275,43,5100
150549252,2,28,2022,Verano,1417.63,30,5560
18792647,2,28,2022,Verano,2038.97,46,8320
1707900616,2,28,2022,Verano,2086.99,75,6560
13001218,2,28,2022,Verano,2346.15,51,9780
17790969,2,28,2022,Verano,2407.68,61,9440
14000987,2,28,2022,Verano,2804.01,55,11200
17791239,2,28,2022,Verano,3215.79,72,12900
13000875,2,28,2022,Verano,3397.76,88,16480
14000888,2,28,2022,Verano,5123.79,113,20880
3143240218,2,28,2022,Verano,11862.83,238,56700
3143290146,2,28,2022,Verano,12798.45,244,51200
3180050301,2,28,2022,Verano,35421.2,777,163800
3143240198,2,28,2022,Verano,68019.16,1395,323010
23990650,2,28,2023,Verano,0,0,0
23990876,2,28,2023,Verano,0,0,0
2309106513,2,28,2023,Verano,0,0,0
5073556,2,28,2023,Verano,2.94,0,7
5070182,2,28,2023,Verano,2.95,0,0
5070279,2,28,2023,Verano,2.95,0,0
5070427,2,28,2023,Verano,2.95,0,0
5070428,2,28,2023,Verano,2.95,0,0
5070426,2,28,2023,Verano,6.23,0,32
62086091,2,28,2023,Verano,6.69,0,35
5070258,2,28,2023,Verano,8.03,0,44
5073553,2,28,2023,Verano,9.23,0,52
1809126635,2,28,2023,Verano,9.38,0,53
5073555,2,28,2023,Verano,11.33,0,66
5070259,2,28,2023,Verano,11.77,0,69
5070257,2,28,2023,Verano,12.23,0,72
5070181,2,28,2023,Verano,14.02,0,84
712986,2,28,2023,Verano,14.78,1,80
14000318,2,28,2023,Verano,19.43,0.12,120
14102718,2,28,2023,Verano,22.27,0,139
69406118,2,28,2023,Verano,24.36,0.54,153
5070425,2,28,2023,Verano,27.22,0,172
14100718,2,28,2023,Verano,29.91,0,190
14100720,2,28,2023,Verano,35.15,0,225
5070260,2,28,2023,Verano,35.3,0,226
78800436,2,28,2023,Verano,43.15,5,240
15004519,2,28,2023,Verano,79.95,4.56,400
17846279,2,28,2023,Verano,81.71,3,400
53064654,2,28,2023,Verano,169.61,2.4,720
163806535,2,28,2023,Verano,585.73,16,2520
50001054,2,28,2023,Verano,694.81,17.64,2760
3001351,2,28,2023,Verano,800.83,0,3200
13001019,2,28,2023,Verano,1022.78,27.52,4480
17791530,2,28,2023,Verano,1029.41,26.88,5760
18792946,2,28,2023,Verano,1086.86,39.68,4320
18792324,2,28,2023,Verano,1201.34,31.7,4800
170796743,2,28,2023,Verano,1242.75,38,3840
150549252,2,28,2023,Verano,1305.1,30,4920
13001327,2,28,2023,Verano,1847.9,38.52,7920
18792953,2,28,2023,Verano,1892.41,43.6,8080
18790336,2,28,2023,Verano,2002.91,43.52,8000
13001218,2,28,2023,Verano,2044.07,55.92,8820
18792647,2,28,2023,Verano,2254.81,73.76,9130
1707900616,2,28,2023,Verano,2314.11,59.04,9440
17791158,2,28,2023,Verano,3093.99,83.84,11520
17791239,2,28,2023,Verano,3207.06,94.2,16200
17790969,2,28,2023,Verano,3428.33,94.08,12240
13000875,2,28,2023,Verano,6060.51,118.4,24640
14000987,2,28,2023,Verano,6554.99,159.88,24920
14000888,2,28,2023,Verano,8104.41,159.14,35760
3143290146,2,28,2023,Verano,13006.97,276,49600
3143240218,2,28,2023,Verano,13462.94,273,63700
3180050301,2,28,2023,Verano,43234,840,207900
3143240198,2,28,2023,Verano,85700.23,1448,429737
23991862,2,28,2024,Verano,0,0,0
712986,2,28,2024,Verano,1.26,0,0
62086091,2,28,2024,Verano,1.28,0,0
627568,2,28,2024,Verano,2.11,0,16
5073556,2,28,2024,Verano,2.11,0,16
5070182,2,28,2024,Verano,2.26,0,17
2309106513,2,28,2024,Verano,4.11,0,30
5070428,2,28,2024,Verano,5.4,0,39
14000318,2,28,2024,Verano,5.54,0,40
1809126635,2,28,2024,Verano,5.82,0,42
5070427,2,28,2024,Verano,6.26,0,45
5073553,2,28,2024,Verano,7.12,0,51
5070258,2,28,2024,Verano,7.97,0,57
5070257,2,28,2024,Verano,10.55,0,75
5073555,2,28,2024,Verano,12.55,0,89
5070181,2,28,2024,Verano,12.84,0,91
5070259,2,28,2024,Verano,13.13,0,93
5070426,2,28,2024,Verano,14.41,0,102
69406118,2,28,2024,Verano,18.13,0,128
14100718,2,28,2024,Verano,19.42,0,137
14102718,2,28,2024,Verano,23,0,162
14100720,2,28,2024,Verano,25.43,0,179
5070425,2,28,2024,Verano,26.15,0,184
5070260,2,28,2024,Verano,27.86,0,196
17846279,2,28,2024,Verano,43.22,2,200
15004519,2,28,2024,Verano,46.92,0,320
78800436,2,28,2024,Verano,112.68,11,480
53064654,2,28,2024,Verano,122.69,0,680
3001351,2,28,2024,Verano,800,0,3200
50001054,2,28,2024,Verano,1087.36,20,3420
163806535,2,28,2024,Verano,1103.97,20,3680
18792324,2,28,2024,Verano,1150,0,4600
150549252,2,28,2024,Verano,1427.26,4,6560
17791530,2,28,2024,Verano,1544.26,33,7008
13001019,2,28,2024,Verano,1578.39,37,6720
18792953,2,28,2024,Verano,1583.79,60,3760
170796743,2,28,2024,Verano,1783.33,38,5520
18790336,2,28,2024,Verano,2098.47,39,6560
23990650,2,28,2024,Verano,2255.02,34,8280
13001218,2,28,2024,Verano,2319.92,54,9960
18792647,2,28,2024,Verano,2494.05,61,10320
1707900616,2,28,2024,Verano,2499.22,63,10080
23990876,2,28,2024,Verano,2680.7,67,10880
17791239,2,28,2024,Verano,3762.08,78,17100
17791158,2,28,2024,Verano,4007.75,74,12480
17790969,2,28,2024,Verano,4175.94,127,13840
14000987,2,28,2024,Verano,7109.1,181,24080
13000875,2,28,2024,Verano,8324.75,141,27200
14000888,2,28,2024,Verano,8601.58,205,34800
3143290146,2,28,2024,Verano,14777.82,276,47600
3143240218,2,28,2024,Verano,17096.72,280,70000
3180050301,2,28,2024,Verano,63916.61,978,266700
3143240198,2,28,2024,Verano,110083.41,1661,467808
170796743,3,28,2022,1er semestre,0,0,0
5070182,3,28,2022,1er semestre,1.38,0,0
5070260,3,28,2022,1er semestre,1.38,0,0
5070279,3,28,2022,1er semestre,1.38,0,0
5070425,3,28,2022,1er semestre,1.38,0,0
69406118,3,28,2022,1er semestre,1.38,0,2
14100718,3,28,2022,1er semestre,1.39,0,4
14100720,3,28,2022,1er semestre,1.39,0,4
5073556,3,28,2022,1er semestre,3.06,0,31
1809126635,3,28,2022,1er semestre,3.52,0,37
14000318,3,28,2022,1er semestre,3.76,0,40
62086091,3,28,2022,1er semestre,3.84,0,41
5070257,3,28,2022,1er semestre,4.79,0,53
5070428,3,28,2022,1er semestre,5.7,0,66
14102718,3,28,2022,1er semestre,5.93,0,69
5070181,3,28,2022,1er semestre,6.7,0,79
5073553,3,28,2022,1er semestre,7.09,0,84
5070426,3,28,2022,1er semestre,7.24,0,86
5073555,3,28,2022,1er semestre,8.01,0,96
5070259,3,28,2022,1er semestre,8.23,0,99
53064654,3,28,2022,1er semestre,9.84,2,120
5070258,3,28,2022,1er semestre,14.89,0,186
712986,3,28,2022,1er semestre,15.06,0,160
78800436,3,28,2022,1er semestre,15.06,4,160
17846279,3,28,2022,1er semestre,18.99,2,200
5070427,3,28,2022,1er semestre,22.83,0,290
15004519,3,28,2022,1er semestre,56.06,4,400
50001054,3,28,2022,1er semestre,292.01,19,2460
18790336,3,28,2022,1er semestre,713.84,23,2960
3001351,3,28,2022,1er semestre,750.8,0,3400
13001327,3,28,2022,1er semestre,771.74,22,4320
163806535,3,28,2022,1er semestre,831.77,40,3520
17791530,3,28,2022,1er semestre,850.6,20,3520
13001019,3,28,2022,1er semestre,895.047,21,3680
17791158,3,28,2022,1er semestre,1149.15,34,5920
18792946,3,28,2022,1er semestre,1183.28,40,4000
18792953,3,28,2022,1er semestre,1197.51,54,3040
18792324,3,28,2022,1er semestre,1376.85,52,5500
144664857,3,28,2022,1er semestre,1435.55,38,4400
150549252,3,28,2022,1er semestre,1705.19,31,6880
18792647,3,28,2022,1er semestre,2151.16,59,8320
1707900616,3,28,2022,1er semestre,2330.998,69,8640
13001218,3,28,2022,1er semestre,2407.31,63,9540
17790969,3,28,2022,1er semestre,3142.18,94,11520
17791239,3,28,2022,1er semestre,3876.59,87,16200
13000875,3,28,2022,1er semestre,3892.85,104,19360
14000987,3,28,2022,1er semestre,3912.08,177.38,14560
14000888,3,28,2022,1er semestre,6842.68,197,25200
3143240218,3,28,2022,1er semestre,13349.23,242,63700
3143290146,3,28,2022,1er semestre,13990.9,244,55600
3180050301,3,28,2022,1er semestre,40391.6,861,180600
3143240198,3,28,2022,1er semestre,88986.99,1489,430984
23990650,3,28,2023,1er semestre,0,0,0
23990876,3,28,2023,1er semestre,0,0,0
2309106513,3,28,2023,1er semestre,0,0,0
5070279,3,28,2023,1er semestre,3.02,0,0
5070427,3,28,2023,1er semestre,3.02,0,0
62086091,3,28,2023,1er semestre,3.15,0,0
5070182,3,28,2023,1er semestre,3.21,0,0
5073556,3,28,2023,1er semestre,4.2,0,18
5070426,3,28,2023,1er semestre,6.26,0,31
5070258,3,28,2023,1er semestre,7.55,0,40
1809126635,3,28,2023,1er semestre,8.41,0,46
5070428,3,28,2023,1er semestre,9.71,0,55
5073553,3,28,2023,1er semestre,10.04,0,56
5070181,3,28,2023,1er semestre,11.9,0,68
5073555,3,28,2023,1er semestre,12.26,0,71
14000318,3,28,2023,1er semestre,13.47,0.12,80
5070257,3,28,2023,1er semestre,14.08,0,83
14100718,3,28,2023,1er semestre,21.06,0,128
5070259,3,28,2023,1er semestre,21.25,0,132
14102718,3,28,2023,1er semestre,22.78,0,142
69406118,3,28,2023,1er semestre,26.35,0.54,166
5070425,3,28,2023,1er semestre,27.36,0,170
14100720,3,28,2023,1er semestre,31.05,0,192
5070260,3,28,2023,1er semestre,31.82,0,199
712986,3,28,2023,1er semestre,35.35,1,200
17846279,3,28,2023,1er semestre,42.29,2,240
78800436,3,28,2023,1er semestre,64.16,5,320
15004519,3,28,2023,1er semestre,79.88,5.28,400
53064654,3,28,2023,1er semestre,137.81,2.4,680
3001351,3,28,2023,1er semestre,701.46,0,2800
50001054,3,28,2023,1er semestre,771.43,18.96,3000
163806535,3,28,2023,1er semestre,933.92,52,4210
18792324,3,28,2023,1er semestre,1076.99,52.1,4300
13001019,3,28,2023,1er semestre,1116.62,31.2,4800
18792946,3,28,2023,1er semestre,1247.55,39.68,4480
17791530,3,28,2023,1er semestre,1410.68,25.92,7040
18790336,3,28,2023,1er semestre,1531.57,44.8,5680
18792953,3,28,2023,1er semestre,1624.28,53.92,7200
150549252,3,28,2023,1er semestre,1639.84,33,6760
170796743,3,28,2023,1er semestre,1763.67,48,6160
18792647,3,28,2023,1er semestre,1887.26,68.8,8400
13001327,3,28,2023,1er semestre,1928.45,37.08,8400
13001218,3,28,2023,1er semestre,1938.2,62.88,8880
1707900616,3,28,2023,1er semestre,2326.43,75.2,8960
17791158,3,28,2023,1er semestre,2965.84,89.12,11840
17791239,3,28,2023,1er semestre,3096.34,91.8,14489
17790969,3,28,2023,1er semestre,3656.68,94.08,14160
14000987,3,28,2023,1er semestre,5051.93,159.88,20720
13000875,3,28,2023,1er semestre,6087.97,146.4,24640
14000888,3,28,2023,1er semestre,7374.05,179.52,31680
3143290146,3,28,2023,1er semestre,14463.07,252,60800
3143240218,3,28,2023,1er semestre,15610.51,280,79100
3180050301,3,28,2023,1er semestre,54571.64,924,281400
3143240198,3,28,2023,1er semestre,103629.17,1585,548387
5070182,3,28,2024,1er semestre,2.08,0,16
62086091,3,28,2024,1er semestre,2.22,0,17
712986,3,28,2024,1er semestre,2.47,0,0
5070427,3,28,2024,1er semestre,2.93,0,22
627568,3,28,2024,1er semestre,3.22,0,24
5070258,3,28,2024,1er semestre,3.35,0,25
5073556,3,28,2024,1er semestre,3.36,0,27
5070259,3,28,2024,1er semestre,5.03,0,37
14000318,3,28,2024,1er semestre,5.46,0.12,40
1809126635,3,28,2024,1er semestre,5.6,0,41
2309106513,3,28,2024,1er semestre,6.51,0,47
5070181,3,28,2024,1er semestre,6.87,0,50
5073553,3,28,2024,1er semestre,7.01,0,51
5073555,3,28,2024,1er semestre,9.55,0,69
5070428,3,28,2024,1er semestre,10.25,0,74
5070426,3,28,2024,1er semestre,15.19,0,109
5070257,3,28,2024,1er semestre,16.04,0,115
14100718,3,28,2024,1er semestre,16.87,0,121
69406118,3,28,2024,1er semestre,20.54,1.25,147
14102718,3,28,2024,1er semestre,23.78,0,170
5070425,3,28,2024,1er semestre,26.32,0,188
5070260,3,28,2024,1er semestre,30.27,0,216
14100720,3,28,2024,1er semestre,30.69,0,219
17846279,3,28,2024,1er semestre,49.48,240,240
15004519,3,28,2024,1er semestre,96.78,4.64,560
53064654,3,28,2024,1er semestre,121.25,4.36,680
78800436,3,28,2024,1er semestre,153.13,15,640
3001351,3,28,2024,1er semestre,752.21,0,3000
18792324,3,28,2024,1er semestre,1127.97,34.2,4500
50001054,3,28,2024,1er semestre,1244.16,22.2,4200
13001019,3,28,2024,1er semestre,1524.35,37.92,6240
18792953,3,28,2024,1er semestre,1534.38,60.08,3120
18790336,3,28,2024,1er semestre,2009.73,38.24,6400
163806535,3,28,2024,1er semestre,2156.32,60,5800
23990650,3,28,2024,1er semestre,2207.93,33.96,8280
150549252,3,28,2024,1er semestre,2214.59,40,7800
170796743,3,28,2024,1er semestre,2445.81,62,7120
18792647,3,28,2024,1er semestre,2542.5,58.8,10960
13001218,3,28,2024,1er semestre,2662.5,61.92,11460
23990876,3,28,2024,1er semestre,2794.54,66.72,11520
1707900616,3,28,2024,1er semestre,3349.75,87.84,12960
17791158,3,28,2024,1er semestre,3606.98,72.48,10720
17791239,3,28,2024,1er semestre,4212.68,70.2,21300
17790969,3,28,2024,1er semestre,4952.87,127.2,19280
14000987,3,28,2024,1er semestre,6757.89,181.3,21700
13000875,3,28,2024,1er semestre,8027.04,134.24,27200
14000888,3,28,2024,1er semestre,10751.32,263.28,42480
3143290146,3,28,2024,1er semestre,15089.14,232,54800
3143240218,3,28,2024,1er semestre,18047.74,284,78750
3180050301,3,28,2024,1er semestre,70657.87,1008,317100
3143240198,3,28,2024,1er semestre,122722.35,1772,549991
170796743,4,28,2022,1er semestre,0,0,0
712986,4,28,2022,1er semestre,1.17,0,0
5070182,4,28,2022,1er semestre,1.39,0,2
5070279,4,28,2022,1er semestre,1.39,0,1
69406118,4,28,2022,1er semestre,1.39,1,3
14102718,4,28,2022,1er semestre,2.21,0,20
5073556,4,28,2022,1er semestre,3.46,0,36
14000318,4,28,2022,1er semestre,3.77,0,40
1809126635,4,28,2022,1er semestre,3.92,0,42
5070425,4,28,2022,1er semestre,4.29,0,47
5070428,4,28,2022,1er semestre,4.44,0,49
5073553,4,28,2022,1er semestre,6.56,0,77
14100720,4,28,2022,1er semestre,6.56,0,78
14100718,4,28,2022,1er semestre,7.03,0,84
5070259,4,28,2022,1er semestre,7.47,0,89
62086091,4,28,2022,1er semestre,8.09,0,97
5073555,4,28,2022,1er semestre,8.18,0,98
5070257,4,28,2022,1er semestre,8.51,0,103
5070181,4,28,2022,1er semestre,9.07,0,110
5070260,4,28,2022,1er semestre,11.88,0,148
5070426,4,28,2022,1er semestre,13.29,0,166
5070258,4,28,2022,1er semestre,14.99,0,188
